,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,author_num,publisher_num
31,Them: Adventures with Extremists,Jon Ronson,3.95,eng,336,11990,831,1041897660,Simon  Schuster,1,1
32,Into the Void (Spelljammer: The Cloakmaster Cycle  #2),Nigel Findley,3.54,en-US,311,257,12,662688540,TSR,1,1
33,Why I Hate Canadians,Will Ferguson,3.72,en-GB,220,630,48,1169164920,Not Avail,1,1
34,Beyond World's End (Bedlam's Bard  #4),Mercedes Lackey/Rosemary Edghill,3.93,en-US,416,2508,22,978307920,Baen,2,1
35,The Cossacks,Leo Tolstoy/Peter Constantine/Cynthia Ozick,3.79,eng,161,4356,226,1137196920,Modern Library,3,1
36,Joy in the Morning (Jeeves  #8),P.G. Wodehouse,4.34,eng,296,38,0,1010966580,Everyman,1,1
37,Wise Child,Monica Furlong,4.14,eng,228,178,12,1074902520,Random House,1,1
38,The Great Philosophers: An Introduction to Western Philosophy,Bryan Magee/Myles Burnyeat/Martha C. Nussbaum/Anthony Kenny/Bernard Williams/Anthony Quinton/Michael  Ayres/John Passmore/Geoffrey Warnock/Peter Singer/Frederick Charles Copleston/J. P. Stern/Hubert L. Dreyfus/Sidney Morgenbesser/A.J. Ayer/John Rogers Searle,4.07,eng,352,359,18,979776060,Oxford University Press  USA,16,1
39,Caesar's Women (Masters of Rome  #4),Colleen McCullough,4.25,eng,943,5423,157,852076920,Avon,1,1
40,Witness,Karen Hesse,3.72,eng,161,4667,703,1041379380,Scholastic Paperbacks,1,1
41,Charms for the Easy Life,Kaye Gibbons,4.02,eng,272,11168,744,1104538020,Harper Perennial,1,1
42,Hemingway's Cats: An Illustrated Biography,Carlene Fredericka Brennen/Hilary Hemingway,3.82,eng,185,45,9,1104537660,Pineapple Press,2,1
43,Living with Passion and Purpose: Luke (Woman After God's Own Heart),Elizabeth George,4.0,eng,160,22,4,1105747740,Harvest House Publishers,1,1
44,Beatrix Potter: A Life in Nature,Linda Lear,4.03,eng,584,1328,184,1168300860,St. Martin's Press,1,1
45,The Return of the Native,Thomas Hardy/Phillip Mallett,3.86,eng,552,44,5,1137196920,W. W. Norton & Company,2,1
46,The Crucible of Time,John Brunner,3.71,eng,416,25,3,442713960,Del Rey,1,1
47,The Case of the Half-Wakened Wife,Erle Stanley Gardner,3.88,eng,245,435,23,663724980,Fawcett,1,1
48,More Sideways Arithmetic from Wayside School (Wayside School #2.6),Louis Sachar,3.92,eng,112,856,28,757382940,Bloomsbury U.S.A. Children's Books,1,1
49,Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell/Patricia Cornwell,4.02,eng,342,193117,2123,1043885520,Pocket Books,2,1
50,The Free Bards (Bardic Voices  #1-3),Mercedes Lackey,4.18,eng,712,1530,20,852077100,Baen,1,1
51,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,2,1104710700,Citadel,1,1
52,Coach: Lessons on the Game of Life,Michael   Lewis,3.82,en-US,96,1502,167,1105920240,W. W. Norton  Company,1,1
53,Jeeves and The Feudal Spirit (Jeeves  #11),P.G. Wodehouse,4.32,eng,240,25,1,979949340,Everyman's Library,1,1
54,The Hollow Man,Dan Simmons,3.46,en-US,342,2532,149,725846940,Bantam Spectra,1,1
55,Bargaining for Advantage: Negotiation Strategies for Reasonable People,G. Richard Shell,3.95,eng,304,37,1,946685160,Penguin Books,1,1
56,Saint-Exupéry,Stacy Schiff/Antoine de Saint-Exupéry,4.02,eng,560,208,27,1136592120,Holt Paperbacks,2,1
57,Silenced: The Wrath of God Descends (Underground Zealot  #2),Jerry B. Jenkins,4.24,eng,368,1532,40,1104537780,Tyndale House Publishers,1,1
58,Zaat,Sonallah Ibrahim/صنع الله إبراهيم/Anthony Calderbank,3.55,ara,349,122,12,1074124980,American University in Cairo Press,3,1
59,The Best American Essays 2006,Lauren Slater/Robert Atwan,3.88,en-US,304,434,34,1136938200,Mariner Books,2,1
60,Java: An Introduction to Problem Solving and Programming,Walter J. Savitch,3.85,en-US,1060,26,1,1072915920,Prentice Hall,1,1
61,The Book of Five Rings,Miyamoto Musashi/William Scott Wilson/Shiro Tsujimura,4.07,eng,157,455,43,1009843380,Kodansha International,3,1
62,Sauron Defeated: The History of The Lord of the Rings  Part Four (The History of Middle-Earth  #9),J.R.R. Tolkien/Christopher Tolkien,4.01,eng,496,2572,41,696471000,Houghton Mifflin Harcourt,2,1
63,A People's Tragedy: The Russian Revolution: 1891-1924,Orlando Figes,4.31,eng,1024,2931,222,883612980,Penguin Books,1,1
64,Brit-Think  Ameri-Think: A Transatlantic Survival Guide,Jane Walmsley,3.26,eng,160,269,40,1043452920,Penguin Books,1,1
65,The Selected Poems of Federico García Lorca,Federico García Lorca,4.32,mul,180,236,23,-473385240,New Directions Publishing Corporation,1,1
66,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,2257,633485280,William Morrow Paperbacks,1,1
67,Transmetropolitan  Vol. 4: The New Scum,Warren Ellis/Darick Robertson/Rodney Ramos/Keith Akin,4.39,eng,133,13331,146,946685340,Vertigo,4,1
68,Purity of Blood (Adventures of Captain Alatriste  #2),Arturo Pérez-Reverte/Margaret Sayers Peden,3.75,eng,268,3240,130,1138407060,Plume,2,1
69,The St. Paul Stories of F. Scott Fitzgerald,F. Scott Fitzgerald/Dave Page/Patricia Hampl,4.0,en-US,328,100,11,1074902940,Minnesota Historical Society Press,3,1
70,Motor Mouth (Alex Barnaby #2),Janet Evanovich,3.68,eng,312,22251,671,1136247000,HarperCollins,1,1
71,Rape: A Love Story,Joyce Carol Oates,3.57,eng,128,114,24,1042503120,Carroll & Graf Publishers,1,1
72,The Sorrows of Young Werther,Johann Wolfgang von Goethe/Nathan Haskell Dole/Thomas Carlyle/R. Dillon Boylan,3.67,en-US,104,16,0,1137283680,MONDIAL,4,1
73,Ultimate Unofficial Guide to the Mysteries of Harry Potter: Analysis of Books 1-4,Galadriel Waters/Astre Mithrandir,4.05,en-US,412,2774,37,1041379260,Wizarding World Press,2,1
74,Ride of the Second Horseman: The Birth and Death of War,Robert L. O'Connell,4.29,eng,320,13,0,853632600,Oxford University Press  USA,1,1
75,John Deere Farm Tractors: A History of the John Deere Tractor,Randy Leffingwell,4.22,eng,192,22,1,725846940,Motorbooks International,1,1
76,La caída,Albert Camus/Manuel de Lope,4.04,spa,128,233,20,1106093340,Alianza Editorial,2,1
77,The Tolkien Reader,J.R.R. Tolkien/Peter S. Beagle,3.99,eng,251,4200,145,505872660,Del Rey,2,1
78,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,eng,412,424,47,283997160,Quill,1,1
79,Write Great Code: Volume 1: Understanding the Machine,Randall Hyde,3.92,eng,456,145,12,1073520660,No Starch Press,1,1
80,For the Relief of Unbearable Urges,Nathan Englander,3.93,eng,205,2418,229,948412980,Vintage,1,1
81,First King of Shannara (The Original Shannara Trilogy #0),Terry Brooks,3.96,eng,435,864,55,854496060,Del Rey,1,1
82,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,eng,458,3437,316,1074556860,Harper Perennial,2,1
83,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,spa,205,6,1,441763560,Turtleback Books,1,1
84,Who Needs Greek? Contests in the Cultural History of Hellenism,Simon Goldhill,3.4,eng,334,10,1,1010102640,Cambridge University Press,1,1
85,The Blazing Center Study Guide: The Soul-Satisfying Supremacy of God in All Things,John Piper,4.3,eng,112,20,0,1136246820,Multnomah,1,1
86,Drop Dead Gorgeous (Blair Mallory  #2),Linda Howard,3.93,eng,347,7227,301,1138407060,Ballantine Books,1,1
87,The Milagro Beanfield War,John     Nichols,4.1,eng,456,9120,395,947894520,Holt McDougal,1,1
88,Vinyl Cafe Odd Jobs,Stuart McLean,4.56,eng,3,61,1,1105747560,Canadian Broadcasting Corporation (CBC Audio),1,1
89,LOVE MODE 11,Yuki Shimizu/志水 ゆき,4.37,jpn,182,4,0,1042156860,ビブロス,2,1
90,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,eng,6,58,15,1107043740,Phoenix Audio,1,1
91,Easy Riders  Raging Bulls: How the Sex-Drugs-And-Rock-'N'-Roll Generation Saved Hollywood,Peter Biskind,4.12,eng,506,414,26,1389312720,Bloomsbury Publishing PLC,1,1
92,The Way the Crow Flies,Ann-Marie MacDonald,4.09,en-US,848,11330,1011,1075507680,Harper Perennial,1,1
93,Selected Poems,Octavio Paz/Eliot Weinberger/Charles Tomlinson/William Carlos Williams/Monique Fong Wust/G. Aroul/Elizabeth Bishop/Paul Blackburn/Lysander Kemp/Denise Levertov/Muriel Rukeyser/Mark Strand,4.21,eng,160,373,18,443146140,New Directions,12,1
94,Sources of the Self: The Making of the Modern Identity,Charles Taylor,4.2,eng,624,1355,54,694224180,Harvard University Press,1,1
95,Ballet Shoes,Noel Streatfeild,4.07,eng,184,210,26,1074816720,Orion Children's Books,1,1
96,Double Dealer (CSI: Crime Scene Investigation  #1),Max Allan Collins/Mike Flaherty,3.67,en-US,320,1029,53,1041379440,Pocket Books,2,1
97,Olympian Odes. Pythian Odes,Pindar/William H. Race,4.09,mul,416,59,5,853286640,Harvard University Press,2,1
98,The Disappointment Artist,Jonathan Lethem,3.63,eng,149,1613,129,1137196980,Vintage,1,1
99,The Divine Comedy,Dante Alighieri/Allen Mandelbaum/Eugenio Montale,4.07,eng,798,86527,2004,788918880,Everyman's Library,3,1
100,C++ Programmer's Notebook,Jim Keogh/John Shapley Gray,3.0,eng,528,3,0,979603680,Prentice Hall PTR,2,1
101,The Art of War,Sun Tzu/Thomas Cleary/Pulat Otkan/Giray Fidan,3.97,eng,273,235924,5869,1105401660,Shambhala,4,1
102,The Skeptic's Dictionary: A Collection of Strange Beliefs  Amusing Deceptions  and Dangerous Delusions,Robert Todd Carroll,4.02,eng,446,531,11,1041379620,Wiley,1,1
103,American Film Guide,Frank N. Magill,0.0,eng,5,0,0,410227260,Salem Press Inc,1,1
104,Peter Pan in Scarlet,Geraldine McCaughrean/Scott M. Fischer,3.55,eng,307,5421,360,1136419800,Margaret K. McElderry Books,2,1
105,Theater Shoes,Noel Streatfeild/Diane Goode,4.02,en-US,252,85,11,915149460,Sagebrush,2,1
106,Antarctica,Kim Stanley Robinson,3.78,eng,672,2248,165,915581220,Bantam,1,1
107,The Adventures of Augie March,Saul Bellow/Christopher Hitchens,3.84,eng,586,14789,756,1136247000,Penguin Classics,2,1
108,The Rosetta Codex,Richard Paul Russo,3.21,en-US,384,22,2,1104970320,Ace Trade,1,1
109,After Dark,Haruki Murakami/Jay Rubin,3.7,eng,191,80308,4506,1168214700,Knopf Publishing Group,2,1
110,The Stone Diaries,Carol Shields,3.87,en-US,384,397,40,1107043680,Penguin Essential Editions,1,1
111,Pedro Páramo,Juan Rulfo,4.05,ger,132,450,32,915149040,Suhrkamp,1,1
112,Martian Time-Slip,Philip K. Dick,3.77,eng,226,353,33,915754020,Gollancz,1,1
113,Cloudsplitter,Russell Banks,3.91,eng,758,3618,425,917395260,Harper Perennial,1,1
114,Snow,Roy McKie/P.D. Eastman,4.15,eng,72,4383,88,-251509800,Random House,2,1
115,Poppy's Return,Avi/Brian Floca,3.99,eng,256,1110,71,1137888480,HarperCollins,2,1
116,Bleach  Volume 18,Tite Kubo,4.34,eng,208,7781,70,1167782640,VIZ Media LLC,1,1
117,Ralph Ellison: A Biography,Arnold Rampersad,4.15,eng,657,182,24,1169597040,Knopf Publishing Group,1,1
118,The New Knighthood: A History of the Order of the Temple,Malcolm Barber,3.84,eng,441,126,7,791338140,Cambridge University Press,1,1
119,Sam And The Firefly (Beginner Books),P.D. Eastman,4.17,eng,64,5,0,474768360,Collins,1,1
120,programming.java: An Introduction to Programming Using Java: An Introduction to Programming Using Java,Rick Decker/Stuart Hirshfield,4.0,eng,640,1,0,917136720,Course Technology,2,1
121,Enchantment: The Life of Audrey Hepburn,Donald Spoto,3.87,eng,352,2703,267,1167696240,Harmony,1,1
122,Nicolae (Left Behind  #3),Tim LaHaye/Jerry B. Jenkins,3.96,eng,530,30129,566,1104711120,Thorndike Press,2,1
123,Hickory Dickory Dock (Hercule Poirot  #32),Agatha Christie/Hugh Fraser,3.75,eng,196,13515,368,1136592720,AudioGO,2,1
124,Tales of Ordinary Madness,Charles Bukowski,3.92,eng,238,16544,431,978307260,City Lights Publishers,1,1
125,The Charterhouse of Parma,Stendhal/Roger Pearson/Margaret Mauldon,3.82,eng,560,51,8,915840720,Oxford University Press,3,1
126,Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle/John Gielgud/Ralph Richardson/Orson Welles,3.96,eng,6,18,4,1137715440,HighBridge Company,4,1
127,Strange Attractors,William Sleator,3.72,eng,176,230,7,662688240,Puffin Books,1,1
128,The Authority  Vol. 2: Under New Management,Warren Ellis/Mark Millar/Bryan Hitch/Frank Quitely,4.15,eng,200,4146,71,946685460,Wildstorm,4,1
129,El Coleccionista De Huesos (Lincoln Rhyme  #1),Jeffery Deaver,4.19,spa,640,26,2,1041379560,Punto de Lectura,1,1
130,The Lord of the Rings: The Return of the King - Visual Companion,Jude Fisher,4.59,eng,72,26,3,1041811860,HarperCollins,1,1
131,A Hard Day's Write: The Stories Behind Every Beatles Song,Steve Turner,4.18,eng,224,2072,100,915149460,HarperResource,1,1
132,Gunnm Last Order  Tome 01,Yukito Kishiro,4.06,fre,200,48,2,1012090260,Glénat,1,1
133,Miss or Mrs?/ The Haunted Hotel/ The Guilty River,Wilkie Collins/Norman Page/Toru Sasaki,3.79,eng,360,175,14,916185900,Oxford University Press  USA,3,1
134,The Mammoth Book of Storms  Shipwrecks and Sea Disasters,Richard Russell Lawrence,3.57,eng,512,11,3,1073175000,Running Press,1,1
135,The Rebel,Albert Camus/Anthony Bower/Herbert Read,4.15,eng,320,9227,256,694224060,Vintage,3,1
136,The Partner,John Grisham,3.92,eng,416,97474,1928,1106697840,Delta,1,1
137,The Devil's Feather,Minette Walters,3.63,eng,349,2343,153,1137888480,Alfred A. Knopf,1,1
138,The Face,Dean Koontz,3.71,eng,649,18747,559,1075161840,Bantam,1,1
139,Floaters,Joseph Wambaugh,3.52,eng,291,567,38,852249780,Bantam,1,1
140,The Rainbow,D.H. Lawrence/Daphne Merkin,3.69,eng,544,15840,462,1231113900,Signet,2,1
141,Incident at Vichy,Arthur  Miller,3.96,eng,80,686,54,473472240,Penguin Books,1,1
142,The Tale of Peter Rabbit,Beatrix Potter,4.18,eng,72,188842,1575,1010361780,Warne,1,1
143,The Power and the Glory,Graham Greene/John Updike,4.0,eng,222,25490,1585,1043452920,Penguin Books,2,1
144,Pippi Longstocking,Astrid Lindgren/Florence Lamborn/Louis S. Glanzman,4.13,eng,160,147067,2558,1106265840,Puffin Books,3,1
145,Heartsnatcher,Boris Vian/Stanley  Chapman/Raymond Queneau/John Sturrock,3.97,en-GB,245,2430,77,1041552600,Dalkey Archive Press,4,1
146,Deep Waters (Cetin Ikmen  #4),Barbara Nadel,3.99,eng,448,301,24,1009843620,Headline,1,1
147,Rachel se va de viaje (La familia Walsh  #2),Marian Keyes,3.95,spa,594,7,0,1043971260,DeBolsillo,1,1
148,Cast a Yellow Shadow (Mac McCorkle  #2),Ross Thomas,3.95,eng,272,206,17,536457720,Mysterious Press,1,1
149,Loving God with All Your Mind,Elizabeth George,4.43,en-US,304,1488,77,1104537660,Harvest House Publishers,1,1
150,High Performance MySQL: Optimization  Backups  Replication & Load Balancing,Jeremy D. Zawodny/Derek J. Balling,4.23,eng,304,403,17,1074384240,O'Reilly Media,2,1
151,Civilization and Its Discontents,Sigmund Freud/Louis Menand,3.78,eng,192,215,18,1105920060,W. W. Norton  Company,2,1
152,The Writer of Modern Life: Essays on Charles Baudelaire,Walter Benjamin/Michael W. Jennings/Rodney Livingstone/Edmund F.N. Jephcott/Harry Zohn/Howard Eiland,4.3,eng,307,267,4,1136074260,Belknap Press,6,1
153,Tyrannosaurus Wrecks (Stanley  #1),Laura Driscoll/Alisa Klayman-Grodsky/Eric     Weiner,5.0,eng,24,2,1,1041379320,Disney Press,3,1
154,Air Gear  Vol. 2 (Air Gear  #2),Oh! Great/大暮 維人,4.04,eng,224,686,8,1138666200,Del Rey,2,1
155,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,eng,422,640,65,63936360,Penguin Books Ltd,2,1
156,The City of God,Augustine of Hippo/Thomas Merton/Marcus Dods,3.92,eng,905,104,16,947635740,Random House,3,1
157,The Humanoids (Humanoids #1),Jack Williamson,3.75,eng,299,898,48,821664060,Orb Books,1,1
158,Sir Gawain and the Green Knight,Selina Shirley Hastings/Juan Wijngaard,3.91,eng,29,65,9,664934760,Walker Books Ltd,2,1
159,The Return of Lum  Volume 5: Feudal Furor (Urusei Yatsura  #6),Rumiko Takahashi,4.04,en-US,200,27,0,852509520,Viz Media,1,1
160,CliffsNotes on Remarque's All Quiet on the Western Front,Susan Van Kirk/CliffsNotes/Erich Maria Remarque,4.24,eng,112,12,0,948327120,Cliffs Notes,3,1
161,A Woman in Berlin: Eight Weeks in the Conquered City: A Diary,Anonymous/Philip Boehm/Hans Magnus Enzensberger,4.33,eng,261,6232,713,1136938020,Picador,3,1
162,The Portable Chaucer,Geoffrey Chaucer/Theodore Morrison,3.86,eng,611,70,8,223085100,Penguin Books,2,1
163,The Inner Sanctum,Stephen W. Frey,3.64,eng,448,472,36,883613220,Signet,1,1
164,Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,4.05,eng,288,2622,78,979689720,W. W. Norton  Company,1,1
165,Fantasmas,Chuck Palahniuk/Javier Calvo,3.59,spa,442,116,13,1138406880,Mondadori,2,1
166,When the Heart Waits: Spiritual Direction for Life's Sacred Questions,Sue Monk Kidd,4.13,eng,240,2366,231,1452471000,HarperOne,1,1
167,The Ties That Bind: Life's Most Essential Knots and Ties,Susan Oliver/Harry   Bates,3.67,eng,80,3,1,1075075800,Harry N. Abrams,2,1
168,A Light in the Attic (Book & CD),Shel Silverstein,4.34,en-US,176,597,21,978999000,HarperCollins,1,1
169,Mission Possible,Kenneth H. Blanchard,3.44,eng,242,0,0,917654640,McGraw-Hill Companies,1,1
170,How to Write: Advice and Reflections,Richard Rhodes,3.87,eng,240,162,19,821751000,William Morrow Paperbacks,1,1
171,The Pyramid,William Golding,3.33,eng,217,527,20,853891620,Faber  Faber,1,1
172,His Dark Materials (His Dark Materials  #1-3),Philip Pullman,4.26,eng,933,2656,260,1168387440,Alfred A. Knopf,1,1
173,Angels: Celestial Spirits in Legend & Art,Jacqueline Carey,4.0,en-US,128,42,3,852077460,MetroBooks (NY),1,1
174,Full Woman  Fleshly Apple  Hot Moon: Selected Poems,Pablo Neruda/Stephen Mitchell,4.45,eng,288,1018,66,884476920,Harper Perennial,2,1
175,El umbral de la noche,Stephen King/Gregorio Vlastelica/Eduardo Goligorsky,4.0,spa,417,79,11,1075421040,Debolsillo,3,1
176,Mother Maria Skobtsova: Essential Writings,Maria Skobtsova/Richard Pevear,4.31,eng,192,62,9,1009843800,Orbis Books,2,1
177,The Portable Dorothy Parker,Dorothy Parker/Marion Meade/Seth,4.34,eng,626,1447,199,1138406580,Penguin Books,3,1
178,Roverandom,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond,3.87,eng,116,8775,413,1009930140,HarperCollins Publishers,3,1
179,The Da Vinci Code,Dan Brown,3.84,eng,467,1120,105,1138406580,Broadway Books,1,1
180,The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,3.77,eng,3,393,77,1136073900,Simon  Schuster Audio,2,1
181,Agnes Grey,Anne Brontë/Fred Schwarzbach,3.68,eng,224,418,77,1104538200,Barnes  Noble Classics,2,1
182,The National Geographic Society: 100 Years of Adventure & Discovery,C.D.B. Bryan,4.11,en-US,528,10,2,978307740,Abradale Books/Harry N. Abrams,1,2
183,Dirty Little Secrets,Joy King,4.15,eng,256,304,31,1138579500,St. Martin's Griffin,1,1
184,Set This House On Fire,William Styron,3.69,eng,567,566,33,978653040,Vintage Classics,1,1
185,The Rise of Theodore Roosevelt,Edmund Morris,4.23,eng,780,36847,1461,979949460,Random House Trade Paperbacks,1,1
186,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,en-US,211,213,26,1136073720,Business Plus,2,1
187,Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),Harold Bloom/Terry Southern/David H. Goldsmith/James Lundquist/Lawrence R. Broer/Peter J. Reed/Loree Rackstraw/William S. Doxey/Jerome Klinkowitz/Richard Giannone/John L. Simons/Leonard Mustazza/Zoltan Ab di-Nagy/Peter Freese/Wendy B. Faris,4.35,eng,258,14,2,1011053160,Chelsea House Publications,15,1
188,The Treasure Principle: Unlocking the Secret of Joyful Giving,Randy Alcorn,4.13,en-US,120,4088,290,978999000,Multnomah,1,1
189,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,en-US,277,4254,355,1105401660,Little  Brown and Company,1,1
190,ツバサ-RESERVoir CHRoNiCLE- 3,CLAMP,4.28,jpn,190,7,1,1042762320,講談社,1,1
191,The Juvenilia of Jane Austen and Charlotte Brontë,Jane Austen/Charlotte Brontë/Frances Beer,3.86,eng,400,217,7,505440600,Penguin Books,3,1
192,Lock 14,Georges Simenon/Robert Baldick,3.63,en-US,154,406,45,1138147620,Penguin Books,2,1
193,A Long Short War: The Postponed Liberation of Iraq,Christopher Hitchens,3.75,en-US,112,371,24,1041552360,Plume,1,1
194,Margaret Atwood's Power: Mirrors  Reflections and Images in Select Fiction and Poetry,Shannon Hengen,3.43,eng,176,7,1,726279000,Sumach Press,1,1
195,II Maccabees,Anonymous/Jonathan  A. Goldstein,4.04,eng,595,24,2,411091800,Anchor Bible,2,1
196,Writings to Young Women on Laura Ingalls Wilder: As Told By Her Family  Friends  and Neighbors (Writings to Young Women on Laura Ingalls Wilder #3),Laura Ingalls Wilder/Stephen W. Hines,3.98,eng,128,41,2,1136678700,Thomas Nelson,2,1
197,Ferdydurke,Witold Gombrowicz/Danuta Borchardt,3.86,eng,320,8193,198,947549280,Yale University Press,2,1
198,Oedipus Rex (Greek and Latin Classics),Sophocles/Roger D. Dawe,3.7,grc,214,218,1,1136074080,Cambridge University Press,2,1
199,At First Sight (Jeremy Marsh & Lexie Darnell  #2),Nicholas Sparks,3.82,eng,204,68379,3083,1136419740,Grand Central Publishing,1,1
200,Rashōmon and Seventeen Other Stories,Ryūnosuke Akutagawa/Jay Rubin/Haruki Murakami/Yoshihiro Tatsumi,4.13,eng,268,4813,239,1138666200,Penguin Classics,4,1
201,Medal of Honor: Rising Sun (Prima's Official Strategy Guide),Mark Cohen,3.67,eng,96,3,1,1042848660,Prima Games,1,1
202,Nicomachean Ethics,Aristotle/Joe Sachs,3.94,eng,240,238,29,1009843260,Focus,2,1
203,The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,4.46,eng,200,5149,210,1072915440,City Lights Publishers,10,1
204,The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan/Wayne G. Broehl Jr.,4.75,eng,256,4,0,1168819500,Voyageur Press,2,1
